
DC Offset: -3

DC Offset1: 7

DC Offset: -3	Noise Level: 7.19

DC Offset1: -3	Noise Level1: 7.19
33.40,-4.18,1009.14,34.29,33.68,4
46.76,-2.85,1009.13,34.37,33.66,4
52.46,-8.96,1009.13,34.33,33.66,4
54.23,-7.32,1009.21,33.72,33.65,4
51.73,-4.14,1009.11,34.52,33.65,4
30.26,-4.07,1009.09,34.69,33.64,4
57.95,-8.52,1009.18,33.95,33.61,4
46.31,-0.90,1009.10,34.58,33.61,4
9.57,-12.33,1009.09,34.65,33.64,4
8.02,-7.70,1009.09,34.65,33.64,4
17.96,7.55,1009.17,34.00,33.65,4
16.65,14.25,1009.11,34.51,33.68,4
11.50,-1.21,1009.07,34.82,33.69,4
9.50,-2.34,1009.13,34.34,33.69,4
7.90,-0.21,1009.15,34.23,33.73,4
